"","Facultad","Ano","Ambos sexos","Hombre","Mujer"
"182","Psicología","2023",601,308,293
"183","Psicología","2024",612,306,306
"184","Psicología","2025",632,323,309
"185","Trabajo Social","2018",121,45,76
"186","Trabajo Social","2019",116,57,59
"187","Trabajo Social","2020",145,65,80
"188","Trabajo Social","2021",136,55,81
"189","Trabajo Social","2022",196,79,117
"190","Trabajo Social","2023",187,62,125
"191","Trabajo Social","2024",194,86,108
"192","Trabajo Social","2025",185,83,102
"193","Veterinaria","2018",776,380,396
"194","Veterinaria","2019",897,482,415
"195","Veterinaria","2020",860,436,424
"196","Veterinaria","2021",943,459,484
"197","Veterinaria","2022",922,461,461
"198","Veterinaria","2023",999,537,462
"199","Veterinaria","2024",996,528,468
"200","Veterinaria","2025",922,489,433
"201","Óptica y Optometría","2018",206,108,98
"202","Óptica y Optometría","2019",260,131,129
"203","Óptica y Optometría","2020",293,135,158
"204","Óptica y Optometría","2021",336,161,175
"205","Óptica y Optometría","2022",387,205,182
"206","Óptica y Optometría","2023",317,158,159
"207","Óptica y Optometría","2024",332,170,162
"208","Óptica y Optometría","2025",355,174,181
