"Facultad","Ano","Ambos sexos","Hombre","Mujer"
"Derecho","2019",3.90243902439024,3.92413793103448,3.87128712871287
"Derecho","2020",4.2043795620438,4.22222222222222,4.18181818181818
"Derecho","2021",4.72058823529412,4.67515923566879,4.78260869565217
"Derecho","2022",4.54873646209386,4.67924528301887,4.3728813559322
"Derecho","2023",5.19713261648746,5.28395061728395,5.07692307692308
"Derecho","2024",4.32867132867133,4.27777777777778,4.39516129032258
"Derecho","2025",3.83271375464684,3.73202614379085,3.96551724137931
"Educación-Centro Formación Profesor","2018",2.78899082568807,2.94186046511628,2.68939393939394
"Educación-Centro Formación Profesor","2019",2.95555555555556,3.05494505494505,2.88805970149254
"Educación-Centro Formación Profesor","2020",3.06639004149378,3.4639175257732,2.79861111111111
"Educación-Centro Formación Profesor","2021",3.70498084291188,4.32352941176471,3.30817610062893
"Educación-Centro Formación Profesor","2022",3.94485294117647,3.85849056603774,4
"Educación-Centro Formación Profesor","2023",3.56015037593985,3.56730769230769,3.55555555555556
"Educación-Centro Formación Profesor","2024",3.75636363636364,3.90825688073395,3.6566265060241
"Educación-Centro Formación Profesor","2025",3.5296442687747,4.13829787234043,3.16981132075472
"Enfermería, Fisioterapia y Podología","2018",4.82894736842105,6.61764705882353,3.38095238095238
"Enfermería, Fisioterapia y Podología","2019",4.09090909090909,5.90243902439024,2.81034482758621
"Enfermería, Fisioterapia y Podología","2020",5.08860759493671,7.45454545454545,3.39130434782609
"Enfermería, Fisioterapia y Podología","2021",4.90526315789474,6.525,3.72727272727273
"Enfermería, Fisioterapia y Podología","2022",5.29357798165138,8.08888888888889,3.328125
"Enfermería, Fisioterapia y Podología","2023",4.83333333333333,7.02040816326531,3.18461538461538
"Enfermería, Fisioterapia y Podología","2024",4.94827586206897,6.96078431372549,3.36923076923077
"Enfermería, Fisioterapia y Podología","2025",4.81730769230769,6.48888888888889,3.54237288135593
"Estudios Estadísticos","2018",3.14814814814815,4.06666666666667,2
"Estudios Estadísticos","2019",3.34782608695652,3.85714285714286,2.55555555555556
"Estudios Estadísticos","2020",3.05714285714286,3.29411764705882,2.83333333333333
"Estudios Estadísticos","2021",3.25806451612903,3.14285714285714,3.5
"Estudios Estadísticos","2022",3.58139534883721,3.95833333333333,3.10526315789474
"Estudios Estadísticos","2023",3.06818181818182,3,3.15789473684211
"Estudios Estadísticos","2024",4.05263157894737,4.73684210526316,3.36842105263158
"Estudios Estadísticos","2025",3.46341463414634,3.42857142857143,3.5
"Farmacia","2018",3.56595744680851,3.69879518072289,3.49342105263158
"Farmacia","2019",3.49590163934426,4.01204819277108,3.22981366459627
"Farmacia","2020",4.26495726495726,4.41463414634146,4.18421052631579
"Farmacia","2021",3.76264591439689,4.44705882352941,3.42441860465116
"Farmacia","2022",4.4078431372549,4.48863636363636,4.36526946107784
"Farmacia","2023",3.99612403100775,3.81609195402299,4.08771929824561
"Farmacia","2024",4.04938271604938,4.13414634146341,4.00621118012422
"Farmacia","2025",3.59514170040486,3.24390243902439,3.76969696969697
"Filología","2018",2.78099173553719,2.95652173913043,2.62204724409449
