"Categoria","Ano","Ambos sexos","Hombre","Mujer"
"Otras Figuras y Categorías Especiales","2024",3.09302325581395,2.73809523809524,3.16966580976864
"Otras Figuras y Categorías Especiales","2025",2.81370449678801,2.76315789473684,2.82352941176471
"Prof. Asociado/a","2018",3.45131086142322,3.91489361702128,2.93253968253968
"Prof. Asociado/a","2019",3.44270833333333,4.04290429042904,2.77655677655678
"Prof. Asociado/a","2020",3.7906976744186,4.42592592592593,3.05035971223022
"Prof. Asociado/a","2021",4.72491909385113,5.54140127388535,3.88157894736842
"Prof. Asociado/a","2022",4.34829721362229,4.99107142857143,3.65161290322581
"Prof. Asociado/a","2023",4.0840197693575,4.81229773462783,3.32885906040268
"Prof. Asociado/a","2024",3.99508196721311,4.61858974358974,3.34228187919463
"Prof. Asociado/a","2025",4.1,4.6156462585034,3.56993006993007
"Prof. Ayudante","2018",2,1.75,2.28571428571429
"Prof. Ayudante","2019",1.70588235294118,1.57142857142857,1.8
"Prof. Ayudante","2020",1.5,1.42857142857143,1.55555555555556
"Prof. Ayudante","2021",1.90909090909091,1.94444444444444,1.86666666666667
"Prof. Ayudante","2022",2.37254901960784,2.62068965517241,2.04545454545455
"Prof. Ayudante","2023",2.49152542372881,3.17241379310345,1.83333333333333
"Prof. Ayudante","2024",2.90566037735849,2.7,3.17391304347826
"Prof. Ayudante","2025",3.17647058823529,3.46666666666667,2.76190476190476
"Prof. Ayudante Doctor/a","2018",2.69155844155844,2.8273381294964,2.57988165680473
"Prof. Ayudante Doctor/a","2019",2.82522796352584,2.91059602649007,2.75280898876404
"Prof. Ayudante Doctor/a","2020",3.1908077994429,3.35060975609756,3.05641025641026
"Prof. Ayudante Doctor/a","2021",3.6013698630137,3.99099099099099,3.27455919395466
"Prof. Ayudante Doctor/a","2022",3.77380952380952,3.95562130177515,3.62679425837321
"Prof. Ayudante Doctor/a","2023",3.78381795195954,3.94520547945205,3.64553990610329
"Prof. Ayudante Doctor/a","2024",3.95575221238938,4.13114754098361,3.80470588235294
"Prof. Ayudante Doctor/a","2025",3.7764857881137,3.84357541899441,3.71875
"Prof. Contratado Doctor / Perm. Laboral","2018",3.38297872340426,3.56363636363636,2.89108910891089
"Prof. Contratado Doctor / Perm. Laboral","2019",3.37948717948718,3.59219858156028,2.82407407407407
"Prof. Contratado Doctor / Perm. Laboral","2020",3.56423173803526,3.71527777777778,3.1651376146789
"Prof. Contratado Doctor / Perm. Laboral","2021",3.80575539568345,3.94098360655738,3.4375
"Prof. Contratado Doctor / Perm. Laboral","2022",4.28057553956835,4.28712871287129,4.26315789473684
"Prof. Contratado Doctor / Perm. Laboral","2023",3.9515306122449,3.95729537366548,3.93693693693694
"Prof. Contratado Doctor / Perm. Laboral","2024",4.1,4.16608996539792,3.92792792792793
"Prof. Contratado Doctor / Perm. Laboral","2025",3.57712765957447,3.61797752808989,3.47706422018349
"Prof. Emérito/a","2018",4.62666666666667,4.58928571428571,4.73684210526316
"Prof. Emérito/a","2019",4.66233766233766,4.81481481481481,4.30434782608696
"Prof. Emérito/a","2020",4.17948717948718,4.32727272727273,3.82608695652174
"Prof. Emérito/a","2021",4.02666666666667,4.16666666666667,3.66666666666667
"Prof. Emérito/a","2022",4.07407407407407,4.08333333333333,4.04761904761905
"Prof. Emérito/a","2023",3.80821917808219,4.07843137254902,3.18181818181818
"Prof. Emérito/a","2024",4.05633802816901,4.42307692307692,3.05263157894737
"Prof. Emérito/a","2025",3.78688524590164,4.16279069767442,2.88888888888889
"Profesor/a Titular (Univ. y Esc. Univ.)","2018",3.51228733459357,3.94589178356713,3.12522361359571
"Profesor/a Titular (Univ. y Esc. Univ.)","2019",3.6232159847764,3.98178137651822,3.30520646319569
"Profesor/a Titular (Univ. y Esc. Univ.)","2020",4.08223062381853,4.44071146245059,3.7536231884058
"Profesor/a Titular (Univ. y Esc. Univ.)","2021",4.3468809073724,4.6813627254509,4.04830053667263
"Profesor/a Titular (Univ. y Esc. Univ.)","2022",4.17391304347826,4.42270058708415,3.95087719298246
"Profesor/a Titular (Univ. y Esc. Univ.)","2023",3.94334277620397,4.26052104208417,3.66071428571429
"Profesor/a Titular (Univ. y Esc. Univ.)","2024",3.98821218074656,4.24291497975709,3.74809160305344
"Profesor/a Titular (Univ. y Esc. Univ.)","2025",3.72818455366098,4.13461538461539,3.36862003780718
